Ex bike,Viibryd,Midodrine,Phyical Therapy - stretches,Fluvoxamine,Therapy,Caffeine,Osteopathy,Meticorten,Cannabis,floravit iron,Naproxen,Toprol,Amitriptyline,tumeric extract,Soluble Aspirin,pur-absorb iron,Calcort,gluten free,anti-diarrhea med,Vitamin D3,Prednisone,Aleve,excedrin migraine,Lavender oil,ponstan,DLPA,DEHA,Vitamin b complex,Ketotifeno,Methylcobalamine,Mt. Si ACDC 2x Coco Caps,Probiotic,rebounding,therapy session,Stretching,Oxcarbazepine,psychologist,Steps,Magnesium,Amitryptiline,Boswelia Complex,Panamax,THC,Tetralabs Gold Caps,Gaba,Allegra,Flexeril,Goth clubbing,Fish oil,Rest,N-acetyl cysteine,Post-op ice device,Standing desk,electric wheelchair,cocodamol,Green Vibrance,Inositol,Home physio exercises,Ambien CR,gluten free diet,Bicarb on scalp,Prilosec,Nasonex,Compression Stockings,Ginkgo,Tyrosine,Coffee,pilates,Strattera,Relaxing,Low oxalate,Citalopram,Zofran,Clinda-derm,Hydroxyzine,Synthroid,meds,Umeboshi,Low-FODMAP diet,Subling B12,Tetralabs Gold Caps CBN,Epsom Salts,Antihistamine,wear mask,SAD Light Box,Astelin,Vitamin C,Vitamin B,Vitamin B complex - 50,Probiotics,Ropinirole,5 or more portions of fruit and veg,Tavegyl,Magnesium citrate,Meditation,Klonopin,Corticosteroids,CBD,Voltaren,CuraMed,LUSH acne spot-treatment,Zomig,Cranberry extract,Clonazepam,Vitamin b12,Vitamin e,Vitamin d,Ice pack,Prednesone,Mezavant,massage,Plaquenil,Codeine-Panadol,Diazepam,Yoga,Iron,Contraceptive pill,Dicyclomine,physical therapy,Vitamin a,Vyvanse,Valdoxan,Tretinoin,Florinef,Eyebright Complex,Levothyroxine,Acupuncture,Acetyl Carnitine,Metformin,Magnesium gel,N-Acelcysteine,Creatine,Farm,Armodafinil,Physio,Topiramate,Snooze,Citrucel,CoQ10,Valium,Multi vitamin,linseed,Trigger Points,Ligament Restore,Veggies,Calcium,Bagomicina,Medication,Tranexamic acid,Multivitamin,Flutiform,Ondansetron,b12 spray,Kuzu,Pain management,Aromatherapy,Snacks,stool softener,Allergy Shots,Cabergoline,Magnesium malate,Zinc,Ibuprofen,Melatonin,Nortriptyline,Pantoprazole,Paracatamol with codeine,studied,Alcohol,Migraine Diet,Inolaxol,Selenium,Sunlight,Burbur-Pinella,Imodium,Boswelia,aqua therapy,Low Dose Naltrexone,birth control,Magnesium glycinate,5-htp,colofac mr,Ventolin,Fexofenadine,Lithium,Fluoxetine,Medicinal Herbs,Ecural,Tylenol 3,eye ointment,Daily walk,Ubiquinol,Fruit,Achy breaky rub,Athlete Vitamin,Famotidine,antihistamines,Topical ibuprofen,Enada,Wore arch supports all day,Ranitidine,strapping of shoulder,Topamax,Tian Ma Tou Tong - headache,Codeine,Claritin,Progesterone,Methotrexate,Migraine herb feverfew tablets,heating pads,Norco,Metoprolol,catheter,Adderall XR,Wellbutrin,Pataday,Azathioprine,Iodine,Singulair,Pentasa,cough syrup,Physiotherapy,Wei Te Ling - heartburn,Montelukast,Sleep,Paracetamol,Multi-vitamin,Resrticted diet,Methylphenidate,Pristiq,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,Ex bike
,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,Viibryd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midodrine
,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,Phyical Therapy - stretches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluvoxamine
,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caffeine
,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,0.422224442005,,,,,,,,,0.0,,,,,0.769708452251,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,1.139013055,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.107213719738,,,,,,,,,,,,,,,,,0.307434300926,0.0,,,,,,,,0.0,,0.0,,,,,,,2.0,,,,,,,,,,2.0,,,,,0.0,,0.0,,,,,,1.16766078461,,2.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,Osteopathy
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,0.0,,,,,,,Meticorten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis
