hiking,AM meds,Superlong nap,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,Sunlight,Cold Pack,Florinef,Ritalin,Magnesium glycinate,Hydrocortisone,ate breakfast,5-htp,Solifenacin,Bactrim,Claritin,busy,Prednisolone,Strattera,digestive enzyme,Ingefära,Fludrocortisone,Feverfew,woke up late,dairy,Famotidine,Vitamin b complex,A little stressed,shopping,banana,Probiotic,Nasonex,Vitamin d,very active aqua class,Astelin,TigerBalm,Vitamin C,scary new shit,THC,day at home,Allegra,Klonopin,PeaPure,Singulair,Fish oil,Methylprednisolone,Ginger,Piyo,Montelukast,Vitamin b12,Post-op ice device,Zinc,Ibuprofen,had sex,Melatonin,Passionflower,row
,,0.0,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,2.0,,,2.0,2.0,,,,,,,2.0,,,hiking
,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,AM meds
0.0,,,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,2.0,,,2.0,2.0,,,,,,,2.0,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
0.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,2.0,,,2.0,2.0,,,,,,,2.0,,,physical therapy
0.0,,0.0,,0.0,,,,,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,2.0,,,2.0,2.0,,,,,,,2.0,,,snuggles
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclizine
,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,Sunlight
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Pack
2.0,2.0,2.0,,2.0,2.0,,,,,,,0.586032640755,2.0,,,,,2.0,0.0,,0.0,,0.0,,2.0,2.0,,,2.0,2.0,0.0,,,,2.0,,,,2.0,,2.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,Florinef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
,,,,,,,0.0,,,,,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,Magnesium glycinate
2.0,2.0,2.0,,2.0,2.0,,,,0.586032640755,,,,2.0,,,,,2.0,0.0,,0.0,,0.0,,2.0,2.0,,,2.0,2.0,0.0,,,,2.0,,,,2.0,,2.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,Hydrocortisone
0.0,,0.0,,0.0,0.0,,,,2.0,,,2.0,,,,,,0.0,2.0,,2.0,,2.0,,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,2.0,,,2.0,2.0,,,,,,,2.0,,,ate breakfast
,,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,5-htp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solifenacin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bactrim
,,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,Claritin
