Dicyclomine,Tretinoin,Ritalin,BeachBody OnDemand,Phyical Therapy - stretches,Cyclizine,Osteopathy,Cold Pack,Pantoprazole,Methylprednisolone,Metformin,Tetralabs Gold Caps CBN,Solifenacin,Hydrocortisone,Fexofenadine,Prednisolone,Relaxing,Clinda-derm,digestive enzyme,Passionflower,excedrin migraine,Ingefära,Fludrocortisone,Feverfew,Achy breaky rub,Tetralabs Gold Caps,Piyo,Enada,Mt. Si ACDC 2x Coco Caps,Probiotic,TigerBalm,Progesterone,Vitamin B,Medication,Tranexamic acid,Flexeril,Zomig,Ginger,PeaPure,Montelukast,Vitamin b12,Sleep,Corticosteroids,Florinef
,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,
0.0,,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,,,,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.0,,,2.0,,2.0,,,,2.0,,,,2.0,,2.0,2.0,,,2.0,,,,0.0,,,2.0,,,,0.0,2.0,2.0,2.0,,2.0,,,2.0,,,2.0,
,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0
0.0,0.0,,,0.0,,0.0,,2.0,,,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,
,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,
,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,
,,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0
,,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.0,,,2.0,,2.0,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,,,,,,,2.0,,,,0.0,2.0,2.0,2.0,,2.0,,,2.0,,,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.0,,,2.0,,2.0,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,,,,0.0,,,2.0,,,,,2.0,2.0,2.0,,2.0,,,2.0,,,2.0,
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,,0.0,0.0,,0.0,,,0.0,,,0.0,
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,,0.0,,0.0,,,0.0,,,0.0,
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,,,0.0,,,0.0,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,,,,0.0,,,0.0,
,,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0
,,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,,
,,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,
