Dancing,physical therapy,Naproxen,prayer,B12 timed release,THC,Therapy,playing music,creative writing,Exercise--walking,nsaid,Trigger Points,Buffered Salmon Oil - DHA - EPA,Deep rest,Tavegyl,Relpax,Sisu B Calm,Thyroid-Pro (CanPrev),Swimming,Biosil,magnesium ionic,AOR Zinc-Copper Balance
,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,2.0,,2.0
2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0
2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0
2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0
2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0
,,,,,,,,,,0.0,,,,,,,,,,,
2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0
2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0
,,,,,0.0,,,,,,,,,,,,,,,,
0.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,0.0,2.0,2.0,,0.0,2.0,2.0,2.0,,2.0
0.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,0.0,,2.0,2.0,,0.0,2.0,2.0,2.0,,2.0
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,,0.0,,2.0,0.0,0.0,0.0,,0.0
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,,,2.0,0.0,0.0,0.0,,0.0
,,0.0,,,,,,,,,,,,,,,,,,,
0.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,0.0,0.0,2.0,2.0,,,2.0,2.0,2.0,,2.0
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,,0.0,0.0,,0.0
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,,,0.0
,,,,,,,,,,,,,,,,,,,,,
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,,
