Albuterol,Echinacea,WomenSense AdrenaSense Adrenal Formula,Acetaminophen,Amitriptyline,5-htp,B12 timed release,Folic acid,MonoNessa,Biotin,Zyrtec,Buffered Salmon Oil - DHA - EPA,Calcium citrate,Sisu B Calm,Thyroid-Pro (CanPrev),Flexeril,Cetirizine,Thyroid-Pro,Cymbalta,Vitamin d,AOR Zinc-Copper Balance,Curcumin,Probiotic Pearls
,,,,,,,,,,2.0,,,,,,,,,,,,
,,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0
,0.0,,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0
,2.0,2.0,,,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0
,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,
,0.0,0.0,2.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0
,0.0,0.0,2.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0
,0.0,0.0,2.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0
,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,
,0.0,0.0,2.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0
2.0,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,2.0,0.0
,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0
,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,2.0,0.0
,2.0,2.0,0.0,,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0
,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,
