Women's probiotic,tramadol,floravit iron,farm work,Soluble Aspirin,pur-absorb iron,Contraceptive pill,MDMA,Buspirone,DLPA,ate tomatoes,Turmeric,Kirkland Fish Oil,overeating,good nights sleep,vegan,Physiotherapy,Magnesium,Panamax,day at home,bread,grilled cheese,12K Steps,physiotherapy,Standing desk,powerlifting,Valdoxan,Omeprazole,Bicarb on scalp,Fentanyl,slept 7 hours,fast food,Charcoal,Yin Chiao,Pataday,no sleep,Zofran,Turmeric tea,Dexedrine,ate rice last night,Low-FODMAP diet,exercise,catheter,Nutrasea Fish Oil,Off work,Inderal,Superlong nap,Vitamin C,Vitamin B,Vitamin B complex - 50,Probiotics,ate salsa,grapes,Cleaning ,Prednisone,slept in,Pain management,raspberries,Nortriptyline,studied,computer game,Vitamin a,Tian Ma Tou Tong - headache,linseed,cheese,lifting things,hiking,Bu Zhong Yi Qi capsules,Vyvanse,day after weights,played computer,had sex,Eyebright Complex,singing,Magnesium gel,cobb salad,Creatine,Clonazepam,Sewing,Valium,had coffee,Morphine,gluten,Zoladex,catered food,Multivitamin,Mirtazapine,canned vegetable beef soup,ate breakfast,social gathering,Ibuprofen,Sleeping pills ,cutting weight,Migraine Diet,Inolaxol,marijuana,Lithium,Iberogast,Nasonex,yoga,chinese takeout,Wei Zhang Shun Qi Wan,travel,Ecural,Daily walk,no lunch,ate rice,pizza,gaming,Ventolin,eggs,Vitamin d,Codeine,Gan Mao Qing anti-viral,Progesterone,Spironolactone,Voltaren,Iron,Adderall,Ondansetron,Ferrous sulfate,walked,Wei Te Ling - heartburn,Montelukast,Gui Pi Pills,swimming,ate cheese-again,Multi-vitamin,row
,2.0,0.0,,0.0,0.0,,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,0.0,0.0,,,,,2.0,2.0,2.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,0.0,0.0,,,,,,,0.0,2.0,,,2.0,0.0,0.0,0.0,,,,0.0,0.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,,0.0,,,2.0,0.0,,0.0,0.0,,,,0.0,,2.0,0.0,,,0.0,,0.0,2.0,,,,2.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,Women's probiotic
2.0,,2.0,,2.0,2.0,,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,2.0,2.0,,,,,0.0,0.0,0.0,2.0,,,,,,,,2.0,,2.0,2.0,,,,,,2.0,,,0.0,2.0,2.0,2.0,,,,,,,2.0,0.0,,,0.0,2.0,2.0,2.0,,,,2.0,2.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,2.0,,,0.0,2.0,,2.0,2.0,,,,2.0,,0.0,2.0,,,2.0,,2.0,0.0,,,,0.0,,,,,,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,,2.0,,,,tramadol
0.0,2.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,0.102601489293,0.0,,,,,2.0,2.0,2.0,0.0,,,,,,,0.0,0.102601489293,,0.0,0.0,,,,,,0.0,,,2.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.40693787318,,,2.0,0.0,0.000492161384576,0.0,,,,0.0,0.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,,0.0,,,1.89739851071,0.0,,0.0,0.102601489293,,,,0.102601489293,,2.0,0.0,,,0.0,,0.0,2.0,,0.0,,2.0,0.0,,,,,0.0,,0.102601489293,0.0,0.0,0.102601489293,0.0,0.0,0.0,,0.102601489293,0.0,,0.0,,0.0,,,,floravit iron
,,,,,,,,,,2.0,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,farm work
0.0,2.0,0.0,,,0.0,,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,0.0,0.0,,,,,2.0,2.0,2.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,0.0,0.0,,,,,,,0.0,2.0,,,2.0,0.0,0.0,0.0,,,,0.0,0.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,,0.0,,,2.0,0.0,,0.0,0.0,,,,0.0,,2.0,0.0,,,0.0,,0.0,2.0,,,,2.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,Soluble Aspirin
0.0,2.0,0.0,,0.0,,,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,0.0,0.0,,,,,2.0,2.0,2.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,0.0,0.0,,,,,,,0.0,2.0,,,2.0,0.0,0.0,0.0,,,,0.0,0.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,,0.0,,,2.0,0.0,,0.0,0.0,,,,0.0,,2.0,0.0,,,0.0,,0.0,2.0,,,,2.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,pur-absorb iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Contraceptive pill
2.0,0.0,2.0,,2.0,2.0,,,2.0,2.0,,,2.0,,0.0,0.0,2.0,2.0,2.0,,,,,0.0,0.0,0.0,2.0,,,,,,,,2.0,,2.0,2.0,,,,,,2.0,,,0.0,2.0,2.0,2.0,,,,,,,2.0,0.0,,,0.0,2.0,2.0,2.0,,,,2.0,2.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,2.0,,,0.0,2.0,,2.0,2.0,,,,2.0,,0.0,2.0,,,2.0,,2.0,0.0,,,,0.0,,,,,,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,,2.0,,,,MDMA
0.0,2.0,0.0,,0.0,0.0,,2.0,,0.0,,,0.0,,2.0,2.0,0.0,0.0,0.0,,,,,2.0,2.0,2.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,0.0,0.0,,,,,,,0.0,2.0,,,2.0,0.0,0.0,0.0,,,,0.0,0.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,,0.0,,,2.0,0.0,,0.0,0.0,,,,0.0,,2.0,0.0,,,0.0,,0.0,2.0,,,,2.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,Buspirone
0.0,2.0,0.0,,0.0,0.0,,2.0,0.0,,,,0.0,,2.0,2.0,0.0,0.0,0.0,,,,,2.0,2.0,2.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,,2.0,0.0,0.0,0.0,,,,,,,0.0,2.0,,,2.0,0.0,0.0,0.0,,,,0.0,0.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,,0.0,,,2.0,0.0,,0.0,0.0,,,,0.0,,2.0,0.0,,,0.0,,0.0,2.0,,,,2.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,DLPA
