rebounding,Trigger Points,Methylcobalamine,Low oxalate,LUSH acne spot-treatment,Snacks,Caffeine,Tylenol 3,gluten free,Aromatherapy,Cannabis,Veggies,Snooze,Tavegyl,DEHA,massage
,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0
2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,2.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,
