Codeine-Panadol,Valdoxan,Iron,Migraine Diet,Vyvanse,Soluble Aspirin,pur-absorb iron,Aspirin,Nasonex,Zofran,Buspirone,DLPA,Valium,Ventolin,Antihistamine,Codeine,Zoladex,Vitamin B,Temazepam,Probiotics,Magnesium,Boswelia,Flutiform,Boswelia Complex,Mirtazapine,Spironolactone,Pain management,Voltaren,Vitamin a,Athlete Vitamin,Ibuprofen
,2.0,0.0,,2.0,,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,2.0,0.0,2.0,2.0
2.0,,2.0,,0.0,,,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,0.0,2.0,0.0,0.0
0.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.00123163679411,1.87895038289,0.52748637599,0.0,2.0,0.00123163679411,0.0,0.010929032855,0.0527239940627,-2.22044604925e-16,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.927097050979,0.0,2.0,-2.22044604925e-16,2.0,2.0
,,0.0,,,2.0,0.0,,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,2.0,2.0,0.0,,0.0,,
2.0,0.0,2.0,,,,,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,0.0,2.0,0.0,0.0
,,2.0,2.0,,,2.0,,2.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,,,,,,,0.0,0.0,2.0,,2.0,,
,,0.0,0.0,,2.0,,,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,2.0,2.0,0.0,,0.0,,
0.0,2.0,0.0,,2.0,,,,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,2.0,0.0,2.0,2.0
0.0,2.0,0.00123163679411,0.0,2.0,2.0,0.0,0.0,,1.90153040607,0.484340519301,0.0,2.0,0.0,0.0,0.0194626172647,0.0697886199376,0.00123163679411,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.877702774646,0.0,2.0,0.00123163679411,2.0,2.0
2.0,0.0,1.87895038289,2.0,0.0,0.0,2.0,2.0,1.90153040607,,1.83563079962,2.0,0.0,1.90153040607,2.0,1.7990281088,1.67979667367,1.87895038289,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.53972225303,2.0,0.0,1.87895038289,0.0,0.0
0.0,2.0,0.52748637599,0.0,2.0,2.0,0.0,0.0,0.484340519301,1.83563079962,,0.0,2.0,0.484340519301,0.0,0.662593014251,0.834791703397,0.52748637599,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0865741640715,0.0,2.0,0.52748637599,2.0,2.0
,,0.0,0.0,,2.0,0.0,,0.0,2.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,2.0,2.0,0.0,,0.0,,
2.0,0.0,2.0,,0.0,,,2.0,2.0,0.0,2.0,,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,0.0,2.0,0.0,0.0
0.0,2.0,0.00123163679411,0.0,2.0,2.0,0.0,0.0,0.0,1.90153040607,0.484340519301,0.0,2.0,,0.0,0.0194626172647,0.0697886199376,0.00123163679411,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.877702774646,0.0,2.0,0.00123163679411,2.0,2.0
0.0,2.0,0.0,,2.0,,,0.0,0.0,2.0,0.0,,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,2.0,0.0,2.0,2.0
0.0,2.0,0.010929032855,0.0,2.0,2.0,0.0,0.0,0.0194626172647,1.7990281088,0.662593014251,0.0,2.0,0.0194626172647,0.0,,0.0158341914428,0.010929032855,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.07494170889,0.0,2.0,0.010929032855,2.0,2.0
2.0,0.0,0.0527239940627,0.0,0.0,2.0,0.0,2.0,0.0697886199376,1.67979667367,0.834791703397,0.0,0.0,0.0697886199376,2.0,0.0158341914428,,0.0527239940627,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.2505069035,0.0,0.0,0.0527239940627,0.0,0.0
0.0,2.0,-2.22044604925e-16,0.0,2.0,2.0,0.0,0.0,0.00123163679411,1.87895038289,0.52748637599,0.0,2.0,0.00123163679411,0.0,0.010929032855,0.0527239940627,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.927097050979,0.0,2.0,-2.22044604925e-16,2.0,2.0
0.0,2.0,0.0,,2.0,,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,,2.0,0.0,2.0,2.0
0.0,2.0,0.0,,2.0,,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,2.0,0.0,0.0,,0.0,,2.0,0.0,2.0,2.0
2.0,0.0,2.0,,0.0,,,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,2.0,2.0,,2.0,,0.0,2.0,0.0,0.0
2.0,0.0,2.0,,0.0,,,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,,2.0,,0.0,2.0,0.0,0.0
0.0,2.0,0.0,,2.0,,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,,0.0,,0.0,,2.0,0.0,2.0,2.0
0.0,2.0,0.0,,2.0,,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,2.0,0.0,2.0,2.0
,,2.0,2.0,,0.0,2.0,,2.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,,,,,,,,0.0,2.0,,2.0,,
0.0,2.0,0.927097050979,2.0,2.0,0.0,2.0,0.0,0.877702774646,1.53972225303,0.0865741640715,2.0,2.0,0.877702774646,0.0,1.07494170889,1.2505069035,0.927097050979,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.927097050979,2.0,2.0
,,0.0,0.0,,2.0,0.0,,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,2.0,2.0,,,0.0,,
2.0,0.0,2.0,,0.0,,,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,,2.0,0.0,0.0
0.0,2.0,-2.22044604925e-16,0.0,2.0,2.0,0.0,0.0,0.00123163679411,1.87895038289,0.52748637599,0.0,2.0,0.00123163679411,0.0,0.010929032855,0.0527239940627,-2.22044604925e-16,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.927097050979,0.0,2.0,,2.0,2.0
2.0,0.0,2.0,,0.0,,,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,0.0,2.0,,0.0
2.0,0.0,2.0,,0.0,,,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,0.0,2.0,0.0,
