cooking,Vitamins,Dancing,physical therapy,Language Learning,church,Fluids,Biosil,Meticorten,brushed dogs,Naproxen,prayer,cuddled kitten,Extra Medications,fuck yeah avocado,Deep rest,Calcort,ASMR,Coffee,busy,yoga,Medical Marijuana,trying to clean the house,Trigger Points,espresso,10 hours sleep,Daily walk,walked the dogs,slept 12 hours,Exercise--walking,Thyroid-Pro (CanPrev),SPD alternative treatments,Weather- rain,Therapy,Swimming,playing music,creative writing,Ketotifeno,coffee,Aloe Detox Water,Pet Therapy,Medical marijuana,Buffered Salmon Oil - DHA - EPA,Quiet,breathing exercises,Essential oils,Bagomicina,slept in,cereal,House cleaning,Tavegyl,sex,Sisu B Calm,Wellbutrin,Turmeric,Allegra,Medication,Gardening,no sleep,Singulair,hot dog,Friends,Montelukast,B12 timed release,Groceries,AOR Zinc-Copper Balance,Meditation,Trip,massage,TENS Unit,row
,,,,,,,,2.0,0.0,,,,,,,2.0,,,,0.0,,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,2.0,,,0.0,,,,2.0,,2.0,,0.0,,2.0,,0.0,2.0,,0.0,,,0.0,,,cooking
,,,,0.0,2.0,0.0,,,,,,,0.0,,,,0.0,0.0,2.0,,2.0,,,2.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,,,,,2.0,0.0,0.0,2.0,,,0.0,0.0,,,,,,,,,0.0,,0.0,,2.0,,,,,,,,0.0,,0.0,0.0,Vitamins
,,,2.0,,,,2.0,,,2.0,2.0,2.0,,2.0,2.0,,,,0.0,,,0.0,2.0,,,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,,2.0,,2.0,,,,,Dancing
,,2.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,0.0,,0.0,,,,,physical therapy
,0.0,,,,2.0,0.0,,,,,,,0.0,,,,0.0,0.0,2.0,,2.0,,,2.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,,,,,2.0,0.0,0.0,2.0,,,0.0,0.0,,,,,,,,,0.0,,0.0,,2.0,,,,,,,,0.0,,0.0,0.0,Language Learning
,2.0,,,2.0,,2.0,,,,,,,2.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,0.0,2.0,,2.0,2.0,2.0,,,,,0.0,2.0,2.0,0.0,,,2.0,2.0,,,,,,,,,2.0,,2.0,,0.0,,,,,,,,2.0,,2.0,2.0,church
,0.0,,,0.0,2.0,,,,,,,,0.0,,,,0.0,0.0,2.0,,2.0,,,2.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,,,,,2.0,0.0,0.0,2.0,,,0.0,0.0,,,,,,,,,0.0,,0.0,,2.0,,,,,,,,0.0,,0.0,0.0,Fluids
,,2.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,0.0,,0.0,,,,,Biosil
2.0,,,,,,,,,2.0,,,,,,,0.0,,,,2.0,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,2.0,,,,0.0,,0.0,,2.0,,0.0,,2.0,0.0,,2.0,,,2.0,,,Meticorten
0.0,,,,,,,,2.0,,,,,,,,2.0,,,,0.0,,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,2.0,,,0.0,,,,2.0,,2.0,,0.0,,2.0,,0.0,2.0,,0.0,,,0.0,,,brushed dogs
,,2.0,0.0,,,,0.0,,,,0.0,0.0,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,0.0,,0.0,,,,,Naproxen
,,2.0,0.0,,,,0.0,,,0.0,,0.0,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,0.0,,0.0,,,,,prayer
,,2.0,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,0.0,,0.0,,,,,cuddled kitten
