Dicyclomine,Clinda-derm,Dancing,physical therapy,Tretinoin,Naproxen,prayer,Fexofenadine,B12 timed release,gluten free diet,Therapy,Thyroid-Pro (CanPrev),creative writing,Exercise--walking,Gabapentin,Multi vitamin,Stretching,Trigger Points,Buffered Salmon Oil - DHA - EPA,Deep rest,Tavegyl,Sisu B Calm,playing music,Swimming,Sertraline,Montelukast,Biosil,AOR Zinc-Copper Balance,Cardio
,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,
,,0.0,,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,
0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,2.0,2.0,,,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,,,2.0,2.0,
,,2.0,2.0,,0.0,,,2.0,,2.0,2.0,0.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,,,2.0,2.0,
0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,
,,0.0,0.0,,2.0,2.0,,,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,
,,,,,,,,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,0.0
,,0.0,0.0,,2.0,2.0,,0.0,,,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,
,,2.0,2.0,,0.0,0.0,,2.0,0.0,2.0,2.0,,2.0,,0.0,0.0,2.0,2.0,0.00358658291907,2.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0,,,0.0,,,,0.0,,,0.0,,,,,0.0,,,,0.0
,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.0,,,,0.0
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,
,,2.0,2.0,,0.0,0.0,,2.0,0.0,2.0,2.0,0.00358658291907,2.0,,0.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,,0.0,2.0,2.0,,,0.0,0.0,
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,,2.0,2.0,,,0.0,0.0,
,,2.0,2.0,,0.0,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,,0.0,,,2.0,2.0,
,,2.0,2.0,,0.0,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,0.0,,,,2.0,2.0,
,,,,,,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,0.0
0.0,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,,0.0,
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,,
,,,,,,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,
