Pataday,Yin Chiao,Quell Unit,Wei Zhang Shun Qi Wan,Thyroid-Pro,Tian Ma Tou Tong - headache,Gan Mao Qing anti-viral,Progesterone,Daily walk,floravit iron,Magnesium,Ibuprofen,Vitamin d,Ondansetron,Turmeric,Cleaning ,Mirtazapine
,0.0,,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0.0,,,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
,,,,,,,,,,,,,,,,
2.0,2.0,,,,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0
,,,,,,,,,,,,,,,,
0.0,0.0,,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0.0,0.0,,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
0.0,0.0,,2.0,,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2.0,2.0,,0.0,,2.0,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0
2.0,2.0,,0.0,,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,2.0,0.0
0.0,0.0,,2.0,,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0
0.0,0.0,,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,0.0,2.0
0.0,0.0,,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0
0.0,0.0,,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0
2.0,2.0,,0.0,,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0
0.0,0.0,,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0
2.0,2.0,,0.0,,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,
