treadmill,Vitamins,slept 12 hours,Caffeine,Naproxen,early night,12 hours sleep,fuck yeah avocado,ate breakfast,danced,Vitamin D3,Syncope,swam,hot,sugar,dairy,normal sleep,Turmeric,coffee,Aloe Detox Water,sitting,creative writing,ate badly,ate three meals,ate dairy,watermelon,smoothie,playing music,Swimming,Sat outside in the sun,home alone,asparagus,daytime nap,12K Steps,11 hours of sleep,electric wheelchair,AOR Zinc-Copper Balance,masturbated,Dancing,Language Learning,fresh food,church,sex,Acetyl-l-carnitine,0.9% Sodium Chloride Solution 1L,Acetaminophen,eating out,Pokemon go,ASMR,Coffee,played video games,Solpadeine Max,no sleep,espresso,Candesartan,gaming,SPD alternative treatments,exercise,Ate ok,Superlong nap,Off work,Pet Therapy,Medical marijuana,no exercise,Buffered Salmon Oil - DHA - EPA,Quiet,breathing exercises,busy,Anakinra,ate garlic,Tavegyl,got stuff done,Daytime nap,Sisu B Calm,neck massage,Vitamin C,slept 10 hours,Medication,Cetirizine,had sex,restaurant,did photography,Sleeping pills ,studied,Farm,Vitamin b12,Vitamin e,Vitamin d,Late lunch,Tolterodine,sun exposure,massage,no breakfast,hiking,Pedicure,physical therapy,pasta,Albuterol Inhaler,Omeprazole,Levothyroxine,Extra Medications,trying to clean the house,lots of walking,Biosil,Sewing,ate pizza,Therapy,Weather- rain,slept late,banana,catered food,rest day,shopping,gluten,Trigger Points,Enbrel,gym,medium sleep,Calcium citrate,Deep rest,Rather bad sleep,slept in,Multivitamin,dexamphetamine,worked,pancakes dinner,Fluids,Thyroid-Pro (CanPrev),holiday,exercised,slept 9 hours,Cinema,Went to the store,Phentermine,Zinc,Ibuprofen,Meditation,ate a slice of cheese,ate dinner,TENS Unit,cuddled kitten,housework,Bed at 11,lower dose of msm,prayer,breakfast,Ibuprophen,Ventolin,Fexofenadine,cooked,B12 timed release,advil,1 slice of cheese,new environment,ate little,Daily walk,spicy meal,nap,Exercise--walking,8 hours sleep,Solpadol,beach,Benadryl,slept long,Ranitidine,Went to walmart,Magnesium citrate,Essential oils,Norco,Vitamin d+calcium,1 slice of cheese ,catheter,nachos,juiced,archery,Iodine,Calcium,low protein,Solpadeine,benadryl ,Medical Marijuana,Heating Pad,Groceries,Paracetamol,row
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.00027886050052,,,,,,,,,,0.0,2.0,0.113960548818,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.00169672420502,,,,,,0.693389324959,,,,,2.0,,,0.00223386041303,0.498129662961,,,,,,,,,,,,,,,,,,0.179531532214,,,,0.0,,,,,,,,,2.0,treadmill
,,2.0,,,,,,,,,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,0.0,0.0,,,0.0,2.0,,,0.0,,,,,0.0,2.0,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,Vitamins
,2.0,,,,,,,,,,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,2.0,2.0,,,2.0,0.0,,,2.0,,,,,2.0,0.0,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,slept 12 hours
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,Caffeine
,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,0.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,0.0,,,0.0,,,,,,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,early night
,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,12 hours sleep
,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,0.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,0.0,,,0.0,,,,,,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,fuck yeah avocado
,,,,,,,,,0.0,,,,,,,,2.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,,0.955423530988,,,,,,,,,0.0,,,,,,0.157004279167,,0.0,0.0,,0.214418280357,,1.17617517252,2.0,,,,,,,,,,,,,,0.0,2.0,,,2.0,0.00176664605562,,,0.0,,,,,2.0,0.0,,,,,0.219399406864,,,0.0,2.0,2.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,2.0,,0.0,,2.0,,0.0153951484768,0.0,,,,,,0.0,,0.0,,,,,2.0,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,2.0,,2.0,,,,,,,2.0,,0.0,,,,0.0,,0.0,,,,,ate breakfast
,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,2.0,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,0.0,,,,,,,danced
