golden beet,haircut,Caffeine,Poor sleep (hotel),Naproxen,Ambien CR,Miralax low dose at night,chicken,fuck yeah avocado,ate breakfast,snuggly cat,Daily walk,busy,family,excerise,lettuce mix,avocado,cashews,dairy,rice,cuddled kitten,corncakes,avocado bun,coco pops,Stretching,Dinner,fiber art - sewing,bread,grilled cheese,lettuce,limes,cocodamol,drank a lot,olive tapenade,bed day,3 drinks,Dogs,3 brazil-nuts,Zofran,Hydroxyzine,exercise,Superlong nap,Slept well,Woke Up With Alarm,Work,spicy mock beef,raspberries,listen to music ,pasta,Thyroid-Pro,studied,Better sleep,Cranberry extract,new environment,bed late,beans,Vitamin d,Late lunch,Onions,Diazepam,napped well,dried fruit & pumpkin seeds,hiking,More stretching,met a new cat,short nap,adapten-all,5 or more portions of fruit and veg,Lying flat,sugar yesterday,cashew ice cream,vacation,orange and verveine tea,Oxynorm,mint chocolates,l-theanine,Quell Unit,no breakfast,very little sleep,soup,Church,sweet potato,Meditation,chocolate chips,Wear shoulder brace,coconut,fry up breakfast,acorn squash,honey,minestrone,drank alcohol,glutened,gluten free,nap,L-theanine,dairy free,party,12 hrs sleep,pizza,Topical ibuprofen,Protecting back,Wore arch supports all day,dumpling stew,mass transit,heating pads,Norco,heavy physcial exertion,Iodine,Freezie wrap,butternut squash risotto,walked,big burger,Sleep,coconut flakes,drawing,row
,,2.0,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,0.0,,,,,2.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,0.0,,golden beet
,,,0.0,,2.0,2.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,2.0,,,0.0,0.0,,,2.0,2.0,2.0,,0.0,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,2.0,,,0.0,,,2.0,,0.0,,,2.0,,,0.0,,2.0,,,,0.0,0.0,,,,,,2.0,0.0,,,,,0.0,,2.0,0.0,,2.0,0.0,,,,2.0,,,0.0,2.0,0.0,0.0,,2.0,0.0,0.0,,,,2.0,haircut
2.0,,,,,,,2.0,2.0,,,,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,0.0,,2.0,2.0,2.0,,,2.0,,,,2.0,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,0.0,,,,,2.0,,,,,0.0,,,,2.0,,2.0,,2.0,,,,,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,,,,,,,2.0,2.0,,,,2.0,,,,,0.0,,,,2.0,,2.0,,Caffeine
,0.0,,,,2.0,2.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,2.0,,,0.0,0.0,,,2.0,2.0,2.0,,0.0,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,2.0,,,0.0,,,2.0,,0.0,,,2.0,,,0.0,,2.0,,,,0.0,0.0,,,,,,2.0,0.0,,,,,0.0,,2.0,0.0,,2.0,0.0,,,,2.0,,,0.0,2.0,0.0,0.0,,2.0,0.0,0.0,,,,2.0,Poor sleep (hotel)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naproxen
,2.0,,2.0,,,0.0,,,2.0,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,0.0,,,2.0,2.0,,,0.0,0.0,0.0,,2.0,2.0,,,,2.0,,,2.0,2.0,,2.0,2.0,,,0.0,,,2.0,,,0.0,,2.0,,,0.0,,,2.0,,0.0,,,,2.0,2.0,,,,,,0.0,2.0,,,,,2.0,,0.0,2.0,,0.0,2.0,,,,0.0,,,2.0,0.0,2.0,2.0,,0.0,2.0,2.0,,,,0.0,Ambien CR
,2.0,,2.0,,0.0,,,,2.0,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,0.0,,,2.0,2.0,,,0.0,0.0,0.0,,2.0,2.0,,,,2.0,,,2.0,2.0,,2.0,2.0,,,0.0,,,2.0,,,0.0,,2.0,,,0.0,,,2.0,,0.0,,,,2.0,2.0,,,,,,0.0,2.0,,,,,2.0,,0.0,2.0,,0.0,2.0,,,,0.0,,,2.0,0.0,2.0,2.0,,0.0,2.0,2.0,,,,0.0,Miralax low dose at night
0.0,,2.0,,,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,0.0,,,,,2.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,0.0,,chicken
0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,0.0,,,,,2.0,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,0.0,,fuck yeah avocado
,0.0,,0.0,,2.0,2.0,,,,0.0,,0.0,,0.0,,,,0.315241325829,0.0,0.0,,,,,,,,,,,2.0,0.0,,0.0,0.0,0.0,,2.0,2.0,1.17285344713,0.0,0.0,0.0,,,,0.446064634006,,,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,,2.0,2.0,0.0,0.0,,,2.0,0.0,,0.0,,2.0,,0.0,,0.0,0.0,,,,,,2.0,0.0,,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,,,,2.0,,,0.0,2.0,0.0,0.0,,2.0,0.0,0.0019149808472,,2.0,,2.0,ate breakfast
