AM meds,BeachBody OnDemand,Cyclizine,Meticorten,Acetyl-l-carnitine,Cold Pack,Florinef,Calcium Suplment,8 hours of sleep,Calcort,Solifenacin,Hydrocortisone,Prednisolone,Ibuprofen 600mg,Spinal epidural,digestive enzyme,Ingefära,Fludrocortisone,Feverfew,Gravol,Piyo,Ketotifeno,Ritalin,Probiotic,Excedrin,Stretching,thyroid support complex,TigerBalm,Bagomicina,Vitamin d+calcium,Wellbutrin,Allegra,PeaPure,Vicodin,Singulair,Methylprednisolone,Allopurinol,Ginger,Montelukast,Vitamin b12,Sleep,Colesevelam,Zinc,Tylenol,Passionflower,Diphenhydramine,Questran
,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,0.000687799832323,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,0.000687799832323,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,
,,,,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,
,,,,,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,
,,,,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
