slept in,Slept a lot,Swept,Played Go fish,Read comics,Diphenhydramine,Had candy,skipped lunch,Quiet,Didn't shower,Went to the store,listen to music ,Light dinner,Had peach soda,ate dinner,Texted friend,Went to a party,ate meat,ate breakfast,Ate junk food,row
,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,slept in
0.0,,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Slept a lot
2.0,2.0,,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,Swept
2.0,2.0,0.0,,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,Played Go fish
2.0,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,Read comics
0.0,0.0,2.0,2.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Diphenhydramine
0.0,0.0,2.0,2.0,2.0,0.0,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Had candy
0.0,0.0,2.0,2.0,2.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,skipped lunch
2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,Quiet
0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,Didn't shower
2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,Went to the store
2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,listen to music 
2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,2.0,0.0,Light dinner
0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,0.0,2.0,0.0,2.0,0.0,2.0,Had peach soda
0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,0.0,2.0,ate dinner
2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,Texted friend
0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,2.0,0.0,2.0,Went to a party
2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,,2.0,0.0,ate meat
0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,ate breakfast
2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,Ate junk food
