Dicyclomine,Tretinoin,Diazepam,Phyical Therapy - stretches,Osteopathy,Naproxen,Metformin,Cranberry extract,Fexofenadine,Relaxing,Clinda-derm,excedrin migraine,Achy breaky rub,Topical ibuprofen,Enada,Wore arch supports all day,Stretching,Progesterone,Vitamin B,Ropinirole,Tranexamic acid,5 or more portions of fruit and veg,cocodamol,Medication,Zomig,Montelukast,Meditation,Corticosteroids,Pantoprazole
,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,2.0
2.0,,,0.0,2.0,,0.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,,0.0,0.0,2.0,,2.0,0.0
,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,
2.0,0.0,,,2.0,,0.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,,0.0,0.0,2.0,,2.0,0.0
0.0,2.0,,2.0,,,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,2.0
,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,
2.0,0.0,,0.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,,0.0,0.0,2.0,,2.0,0.0
,,0.0,,,0.0,,,,,,,,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,
0.0,2.0,,2.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,2.0
0.0,2.0,,2.0,0.0,,2.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,2.0
0.0,2.0,,2.0,0.0,,2.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,2.0
0.0,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,2.0
0.0,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,2.0
,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,
0.0,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,2.0
,,0.0,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,,
,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,,
0.0,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,2.0,2.0,0.0,,0.0,2.0
0.0,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,2.0,2.0,0.0,,0.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,2.0,2.0,0.0,,0.0,2.0
,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,,
,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,,,,,0.0,,
2.0,0.0,,0.0,2.0,,0.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,,,0.0,2.0,,2.0,0.0
2.0,0.0,,0.0,2.0,,0.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,,0.0,,2.0,,2.0,0.0
0.0,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,,,0.0,2.0
,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,
0.0,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,,2.0
2.0,0.0,,0.0,2.0,,0.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,,0.0,0.0,2.0,,2.0,
